patRIL	chamber	Pre	Learning	Memory	file
11003	14	1.000	0.9583	1.000	3.hbx
11003	15	0.9933	0.9611	1.000	3.hbx
11003	2	0.7667	0.9661	0.3522	4.hbx
11003	4	-0.4800	0.9028	0.07778	4.hbx
11003	5	0.9267	0.9572	0.3944	4.hbx
11003	6	-0.4667	0.9050	-0.4911	4.hbx
11003	8	1.000	0.9933	0.8811	4.hbx
11003	9	1.000	0.9711	-0.3367	4.hbx
11003	10	0.3400	0.8672	1.000	4.hbx
11003	11	0.6533	0.9400	1.000	4.hbx
11003	12	0.5533	0.6994	1.000	4.hbx
11003	14	1.000	0.9556	0.9489	4.hbx
11003	15	1.000	0.9089	0.3633	4.hbx
11003	2	1.000	0.8833	1.000	5.hbx
11003	4	1.000	0.9294	-0.2478	5.hbx
11003	5	1.000	0.9200	0.4311	5.hbx
11003	6	0.2067	0.7772	-0.1844	5.hbx
11003	8	1.000	0.9406	0.9778	5.hbx
11003	9	0.3400	0.8928	1.000	5.hbx
11003	10	1.000	0.9261	0.3922	5.hbx
11003	11	1.000	0.9317	-0.2711	5.hbx
11003	12	0.6200	0.9478	0.2733	5.hbx
11003	14	1.000	0.9967	1.000	5.hbx
11003	15	1.000	0.9022	0.4667	5.hbx
11003	0	1.000	0.9994	0.9978	6.hbx
11003	2	0.5400	0.9189	0.5956	6.hbx
11003	4	0.8600	0.9828	-0.2078	6.hbx
11003	5	-0.2733	0.9611	-0.3444	6.hbx
11003	6	0.2200	0.8400	-0.6422	6.hbx
11003	8	1.000	0.9756	0.5222	6.hbx
11003	9	0.6867	0.9650	0.2833	6.hbx
11003	10	0.4933	0.8200	0.08556	6.hbx
11003	11	0.8600	0.8811	0.6222	6.hbx
11003	14	1.000	0.9861	1.000	6.hbx
11003	15	0.4933	0.9528	1.000	6.hbx
11003	2	0.5000	0.7811	-0.02111	7.hbx
11003	4	1.000	0.9383	-0.02444	7.hbx
11003	5	0.1933	0.9700	-0.3600	7.hbx
11003	6	1.000	0.8683	0.2489	7.hbx
11003	8	1.000	0.9756	-0.01667	7.hbx
11003	9	0.9267	0.9417	-0.007778	7.hbx
11003	10	1.000	0.9889	0.5333	7.hbx
11003	15	0.6200	0.9872	0.3222	7.hbx
11005	0	0.4733	0.8717	-0.5078	1.hbx
11005	2	0.2600	0.7133	-0.2311	1.hbx
11005	4	0.1600	0.6100	-0.03556	1.hbx
11005	6	0.7000	0.8361	1.000	1.hbx
11005	8	0.1000	0.8100	0.3178	1.hbx
11005	9	-1.000	-0.9567	-1.000	1.hbx
11005	11	-0.09333	0.8744	1.000	1.hbx
11005	14	0.4200	0.8822	0.3856	1.hbx
11005	15	0.08000	0.7861	0.01222	1.hbx
11005	0	-1.000	0.7378	-1.000	2.hbx
11005	2	-0.1200	0.7217	-0.9800	2.hbx
11005	6	0.3933	0.7678	1.000	2.hbx
11005	8	-0.2133	0.9256	0.7944	2.hbx
11005	11	0.3000	0.9006	1.000	2.hbx
11005	14	-0.03333	0.8617	1.000	2.hbx
11005	2	-0.3400	0.9072	-0.8489	3.hbx
11005	4	1.000	0.9533	-0.8478	3.hbx
11005	6	-0.04000	0.4600	-0.9578	3.hbx
11005	8	-0.8067	0.8094	0.9222	3.hbx
11005	9	-0.1733	0.9450	1.000	3.hbx
11005	11	-1.000	0.8911	1.000	3.hbx
11005	14	0.1067	0.8533	-0.08333	3.hbx
11005	15	0.2267	0.9200	1.000	3.hbx
11005	0	-0.3467	0.6589	-0.09000	4.hbx
11005	2	-0.3133	0.8983	0.5167	4.hbx
11005	4	-1.000	0.8928	1.000	4.hbx
11005	6	-0.5800	0.8733	1.000	4.hbx
11005	8	-0.3867	0.9328	0.8111	4.hbx
11005	14	0.4400	0.9644	1.000	4.hbx
11005	15	-0.1133	0.9039	0.4622	4.hbx
11005	0	-0.5867	0.8694	0.2044	5.hbx
11005	2	-0.08667	0.8739	0.4289	5.hbx
11005	4	-0.4867	0.5783	0.9644	5.hbx
11005	6	-0.6333	0.7711	-0.1456	5.hbx
11005	8	-0.7933	0.8306	0.9067	5.hbx
11005	9	-0.09333	0.5611	0.5144	5.hbx
11005	11	0.6533	0.9189	0.9722	5.hbx
11005	15	0.8933	0.8928	0.3711	5.hbx
11005	2	-0.1467	0.8378	1.000	6.hbx
11005	4	1.000	0.7822	1.000	6.hbx
11005	6	0.2600	0.5211	0.4800	6.hbx
11005	8	0.6000	0.9567	0.9744	6.hbx
11005	9	1.000	0.9094	0.1878	6.hbx
11005	11	0.2000	0.9411	0.6289	6.hbx
11005	14	0.2133	0.8456	0.7222	6.hbx
11005	15	0.3467	0.6978	1.000	6.hbx
11005	0	-0.8867	0.8433	0.2711	7.hbx
11005	2	-0.1000	0.8156	0.3322	7.hbx
11005	4	-0.4867	0.8083	-0.6622	7.hbx
11005	6	-0.9733	0.6683	0.5544	7.hbx
11005	8	-0.3200	0.9072	1.000	7.hbx
11005	9	-1.000	0.8678	0.6422	7.hbx
11005	11	-1.000	0.5100	1.000	7.hbx
11005	15	0.2600	0.6328	0.4189	7.hbx
11005	0	0.6467	0.8600	0.3756	8.hbx
11005	6	-0.2067	0.7411	1.000	8.hbx
11005	8	-0.3333	0.9428	1.000	8.hbx
11005	9	1.000	0.9239	1.000	8.hbx
11005	11	-0.2333	0.9211	1.000	8.hbx
11005	14	0.1667	0.7372	-0.03000	8.hbx
11005	15	0.2733	0.9250	0.1867	8.hbx
11004	0	1.000	0.7333	1.000	1.hbx
11004	2	1.000	0.9700	1.000	1.hbx
11004	4	-1.000	0.8383	1.000	1.hbx
11004	5	1.000	0.8378	1.000	1.hbx
11004	6	-1.000	0.7678	1.000	1.hbx
11004	13	0.4067	-0.01333	-1.000	1.hbx
11004	14	-0.2333	0.9022	1.000	1.hbx
11004	0	1.000	0.9678	0.9122	2.hbx
11004	5	-0.8867	0.9450	1.000	2.hbx
11004	9	1.000	0.9278	-0.9789	2.hbx
11004	10	1.000	0.9833	1.000	2.hbx
11004	11	1.000	-0.6100	-1.000	2.hbx
11004	12	0.4333	0.9561	1.000	2.hbx
11004	13	1.000	0.7050	-1.000	2.hbx
11004	14	1.000	0.7739	-1.000	2.hbx
11004	0	-0.6467	0.8961	1.000	3.hbx
11004	8	-0.6867	0.6661	1.000	3.hbx
11004	10	1.000	0.8122	1.000	3.hbx
11004	11	1.000	0.9189	1.000	3.hbx
